k,assignments_select,comparisons_select,operations_select,assignments_bubble,comparisons_bubble,operations_bubble,assignments_binInsertion,comparisons_binInsertion,operations_binInsertion
6800,20397,23116600,23136997,0,6799,6799,11444406,2033535,13477941
6900,20697,23801550,23822247,0,6899,6899,6687001,2056678,8743679
7000,20997,24496500,24517497,0,6999,6999,11501354,2068627,13569981
7100,21297,25201450,25222747,0,7099,7099,10134247,2084642,12218889
7200,21597,25916400,25937997,0,7199,7199,11856652,2101011,13957663
7300,21897,26641350,26663247,0,7299,7299,6676505,2128768,8805273
7400,22197,27376300,27398497,0,7399,7399,7410154,2158385,9568539
7500,22497,28121250,28143747,0,7499,7499,3654803,2198730,5853533
7600,22797,28876200,28898997,0,7599,7599,4492864,2235527,6728391
7700,23097,29641150,29664247,0,7699,7699,7245213,2263698,9508911
7800,23397,30416100,30439497,0,7799,7799,11463555,2284127,13747682
7900,23697,31201050,31224747,0,7899,7899,15457330,2294296,17751626
8000,23997,31996000,32019997,0,7999,7999,7255424,2325049,9580473
8100,24297,32800950,32825247,0,8099,8099,10760919,2351044,13111963
8200,24597,33615900,33640497,0,8199,8199,10432292,2371975,12804267
8300,24897,34440850,34465747,0,8299,8299,12679049,2391330,15070379
8400,25197,35275800,35300997,0,8399,8399,9358550,2422529,11781079
8500,25497,36120750,36146247,0,8499,8499,14726389,2445340,17171729
8600,25797,36975700,37001497,0,8599,8599,10421468,2477557,12899025
8700,26097,37840650,37866747,0,8699,8699,13198323,2502618,15700941
8800,26397,38715600,38741997,0,8799,8799,8265306,2539481,10804787
8900,26697,39600550,39627247,0,8899,8899,11626251,2569140,14195391
9000,26997,40495500,40522497,0,8999,8999,18674586,2588679,21263265
9100,27297,41400450,41427747,0,9099,9099,18903425,2608536,21511961
9200,27597,42315400,42342997,0,9199,9199,10081059,2644505,12725564
9300,27897,43240350,43268247,0,9299,9299,16803938,2675112,19479050
9400,28197,44175300,44203497,0,9399,9399,18179170,2695911,20875081
9500,28497,45120250,45148747,0,9499,9499,14848703,2720104,17568807
9600,28797,46075200,46103997,0,9599,9599,21644904,2739447,24384351
9700,29097,47040150,47069247,0,9699,9699,14018422,2769824,16788246
9800,29397,48015100,48044497,0,9799,9799,19842807,2792549,22635356
9900,29697,49000050,49029747,0,9899,9899,20000446,2818160,22818606
100,297,4950,5247,0,99,99,826,2818683,2819509
200,597,19900,20497,0,199,199,6256,2819348,2825604
300,897,44850,45747,0,299,299,19113,2820123,2839236
400,1197,79800,80997,0,399,399,20252,2821608,2841860
500,1497,124750,126247,0,499,499,29189,2823811,2853000
600,1797,179700,181497,0,599,599,84050,2824964,2909014
700,2097,244650,246747,0,699,699,113479,2826181,2939660
800,2397,319600,321997,0,799,799,155603,2827604,2983207
900,2697,404550,407247,0,899,899,86037,2831495,2917532
1000,2997,499500,502497,0,999,999,233570,2833512,3067082
1100,3297,604450,607747,0,1099,1099,155145,2837299,2992444
1200,3597,719400,722997,0,1199,1199,189691,2841808,3031499
1300,3897,844350,848247,0,1299,1299,272448,2845371,3117819
1400,4197,979300,983497,0,1399,1399,491931,2846850,3338781
1500,4497,1124250,1128747,0,1499,1499,264415,2851949,3116364
1600,4797,1279200,1283997,0,1599,1599,352030,2857368,3209398
1700,5097,1444150,1449247,0,1699,1699,305540,2864415,3169955
1800,5397,1619100,1624497,0,1799,1799,428276,2870804,3299080
1900,5697,1804050,1809747,0,1899,1899,531978,2876953,3408931
2000,5997,1999000,2004997,0,1999,1999,487254,2885048,3372302
2100,6297,2203950,2210247,0,2099,2099,646358,2890869,3537227
2200,6597,2418900,2425497,0,2199,2199,779678,2898342,3678020
2300,6897,2643850,2650747,0,2299,2299,1006742,2903717,3910459
2400,7197,2878800,2885997,0,2399,2399,1222651,2910038,4132689
2500,7497,3123750,3131247,0,2499,2499,827533,2920443,3747976
2600,7797,3378700,3386497,0,2599,2599,616569,2931296,3547865
2700,8097,3643650,3651747,0,2699,2699,718742,2942411,3661153
2800,8397,3918600,3926997,0,2799,2799,961221,2952520,3913741
2900,8697,4203550,4212247,0,2899,2899,1575324,2959415,4534739
3000,8997,4498500,4507497,0,2999,2999,636002,2975096,3611098
3100,9297,4803450,4812747,0,3099,3099,1517168,2985429,4502597
3200,9597,5118400,5127997,0,3199,3199,1146945,2997640,4144585
3300,9897,5443350,5453247,0,3299,3299,1494026,3008805,4502831
3400,10197,5778300,5788497,0,3399,3399,1348181,3022000,4370181
3500,10497,6123250,6133747,0,3499,3499,1200341,3036727,4237068
3600,10797,6478200,6488997,0,3599,3599,1376812,3051834,4428646
3700,11097,6843150,6854247,0,3699,3699,2636266,3061325,5697591
3800,11397,7218100,7229497,0,3799,3799,1964734,3073310,5038044
3900,11697,7603050,7614747,0,3899,3899,2477211,3085043,5562254
4000,11997,7998000,8009997,0,3999,3999,1955896,3101080,5056976
4100,12297,8402950,8415247,0,4099,4099,3285991,3113429,6399420
4200,12597,8817900,8830497,0,4199,4199,4322793,3119180,7441973
4300,12897,9242850,9255747,0,4299,4299,1994457,3135255,5129712
4400,13197,9677800,9690997,0,4399,4399,2810879,3148788,5959667
4500,13497,10122750,10136247,0,4499,4499,1641946,3170987,4812933
4600,13797,10577700,10591497,0,4599,4599,2713772,3189364,5903136
4700,14097,11042650,11056747,0,4699,4699,3104176,3203403,6307579
4800,14397,11517600,11531997,0,4799,4799,5750829,3209198,8960027
4900,14697,12002550,12017247,0,4899,4899,4077940,3225665,7303605
5000,14997,12497500,12512497,0,4999,4999,3101011,3244030,6345041
5100,15297,13002450,13017747,0,5099,5099,5936470,3255819,9192289
5200,15597,13517400,13532997,0,5199,5199,4734874,3271844,8006718
5300,15897,14042350,14058247,0,5299,5299,2700115,3293553,5993668
5400,16197,14577300,14593497,0,5399,5399,4848681,3309612,8158293
5500,16497,15122250,15138747,0,5499,5499,7554294,3316079,10870373
5600,16797,15677200,15693997,0,5599,5599,3929129,3337710,7266839
5700,17097,16242150,16259247,0,5699,5699,7977797,3346637,11324434
5800,17397,16817100,16834497,0,5799,5799,8377778,3353932,11731710
5900,17697,17402050,17419747,0,5899,5899,8172881,3364829,11537710
6000,17997,17997000,18014997,0,5999,5999,8264041,3377786,11641827
6100,18297,18601950,18620247,0,6099,6099,4667193,3402379,8069572
6200,18597,19216900,19235497,0,6199,6199,6202645,3420890,9623535
6300,18897,19841850,19860747,0,6299,6299,9873739,3429055,13302794
6400,19197,20476800,20495997,0,6399,6399,10243112,3436108,13679220
6500,19497,21121750,21141247,0,6499,6499,9769493,3447585,13217078
6600,19797,21776700,21796497,0,6599,6599,10824092,3455850,14279942
6700,20097,22441650,22461747,0,6699,6699,7814488,3477257,11291745
6800,20397,23116600,23136997,0,6799,6799,4448383,3509438,7957821
6900,20697,23801550,23822247,0,6899,6899,5319563,3535019,8854582
7000,20997,24496500,24517497,0,6999,6999,8339318,3557718,11897036
7100,21297,25201450,25222747,0,7099,7099,6881363,3584993,10466356
7200,21597,25916400,25937997,0,7199,7199,12797667,3595610,16393277
7300,21897,26641350,26663247,0,7299,7299,8997643,3617695,12615338
7400,22197,27376300,27398497,0,7399,7399,6697792,3646258,10344050
7500,22497,28121250,28143747,0,7499,7499,8873958,3669919,12543877
7600,22797,28876200,28898997,0,7599,7599,12870729,3688678,16559407
7700,23097,29641150,29664247,0,7699,7699,8464094,3713855,12177949
7800,23397,30416100,30439497,0,7799,7799,6626789,3747738,10374527
7900,23697,31201050,31224747,0,7899,7899,5686416,3783807,9470223
8000,23997,31996000,32019997,0,7999,7999,6803126,3816864,10619990
8100,24297,32800950,32825247,0,8099,8099,7333817,3847473,11181290
8200,24597,33615900,33640497,0,8199,8199,16187758,3860824,20048582
8300,24897,34440850,34465747,0,8299,8299,12383314,3886159,16269473
8400,25197,35275800,35300997,0,8399,8399,10793246,3909132,14702378
8500,25497,36120750,36146247,0,8499,8499,13470359,3931763,17402122
8600,25797,36975700,37001497,0,8599,8599,17635443,3946750,21582193
8700,26097,37840650,37866747,0,8699,8699,3463233,4000987,7464220
8800,26397,38715600,38741997,0,8799,8799,14987833,4023214,19011047
8900,26697,39600550,39627247,0,8899,8899,12575688,4057247,16632935
9000,26997,40495500,40522497,0,8999,8999,6228283,4101352,10329635
9100,27297,41400450,41427747,0,9099,9099,15438877,4124563,19563440
9200,27597,42315400,42342997,0,9199,9199,20632808,4139576,24772384
9300,27897,43240350,43268247,0,9299,9299,17732925,4165793,21898718
9400,28197,44175300,44203497,0,9399,9399,15407680,4194202,19601882
9500,28497,45120250,45148747,0,9499,9499,9990268,4233959,14224227
9600,28797,46075200,46103997,0,9599,9599,22679279,4246828,26926107
9700,29097,47040150,47069247,0,9699,9699,21588569,4263915,25852484
9800,29397,48015100,48044497,0,9799,9799,23416919,4279988,27696907
9900,29697,49000050,49029747,0,9899,9899,12554177,4312037,16866214
100,297,4950,5247,0,99,99,959,4312506,4313465
200,597,19900,20497,0,199,199,7825,4313107,4320932
300,897,44850,45747,0,299,299,8498,4314608,4323106
400,1197,79800,80997,0,399,399,27977,4315775,4343752
500,1497,124750,126247,0,499,499,41025,4317112,4358137
600,1797,179700,181497,0,599,599,36920,4319395,4356315
700,2097,244650,246747,0,699,699,71067,4321996,4393063
800,2397,319600,321997,0,799,799,43838,4326387,4370225
900,2697,404550,407247,0,899,899,122503,4328902,4451405
1000,2997,499500,502497,0,999,999,152924,4331569,4484493
