k,assignments_select,comparisons_select
1900,2663811,1804050
2000,3012258,1999000
2100,3309372,2203950
2200,3553635,2418900
2300,3919617,2643850
2400,4297143,2878800
2500,4595343,3123750
2600,5014686,3378700
2700,5461257,3643650
2800,5873490,3918600
2900,6314103,4203550
3000,6810852,4498500
3100,7038318,4803450
3200,7569129,5118400
3300,8177739,5443350
3400,8541501,5778300
3500,9107694,6123250
3600,9671277,6478200
3700,10174356,6843150
3800,10738086,7218100
3900,11251068,7603050
4000,11806575,7998000
4100,12463446,8402950
4200,13038066,8817900
4300,13760472,9242850
4400,14346384,9677800
4500,14685744,10122750
4600,15686928,10577700
4700,16273038,11042650
4800,16926228,11517600
4900,18000897,12002550
5000,18342615,12497500
5100,19575024,13002450
5200,20176368,13517400
5300,20819136,14042350
5400,21422397,14577300
5500,22801854,15122250
5600,23025141,15677200
5700,23958843,16242150
5800,25130565,16817100
5900,25636956,17402050
6000,26553594,17997000
6100,27518868,18601950
6200,28394223,19216900
6300,29311095,19841850
6400,30220389,20476800
6500,31283370,21121750
6600,32694138,21776700
6700,33378759,22441650
6800,34371009,23116600
6900,35205408,23801550
7000,36231915,24496500
7100,37042602,25201450
7200,38445135,25916400
7300,39073260,26641350
7400,40580397,27376300
7500,41555826,28121250
7600,42820575,28876200
7700,43682874,29641150
7800,45037650,30416100
7900,47068353,31201050
8000,47805135,31996000
8100,48575556,32800950
8200,50359683,33615900
8300,51315471,34440850
8400,51734253,35275800
8500,53718117,36120750
8600,54817878,36975700
8700,56086536,37840650
8800,57844179,38715600
8900,58343226,39600550
9000,59932065,40495500
9100,61675923,41400450
9200,62795109,42315400
9300,64427757,43240350
9400,65529492,44175300
9500,66578463,45120250
9600,68633175,46075200
9700,69180690,47040150
9800,72217326,48015100
9900,72780954,49000050
