k,assignments_bubble,comparisons_bubble
1000,763302,497904
1100,916878,603630
1200,1070769,718839
1300,1241214,844160
1400,1463523,976954
1500,1723575,1121169
1600,1949691,1276785
1700,2150049,1443115
1800,2328726,1618947
1900,2744469,1803750
2000,3056574,1998594
2100,3314118,2203284
2200,3561888,2412795
2300,3910617,2642080
2400,4387377,2877525
2500,4611471,3119922
2600,5249571,3378424
2700,5565864,3636510
2800,5832708,3917859
2900,6300921,4199545
3000,6686286,4498485
3100,7192563,4801434
3200,7726839,5117872
3300,8070249,5441919
3400,8543034,5771859
3500,9184533,6113934
3600,9686649,6478109
3700,10233090,6840939
3800,10868877,7214095
3900,11313876,7594535
4000,12016110,7997909
4100,12434634,8396280
4200,13400721,8813244
4300,13577415,9238385
4400,14604651,9676897
4500,15192621,10122344
4600,15949173,10571484
4700,16679850,11040094
4800,17408394,11512140
4900,17924805,11994165
5000,19062618,12495609
5100,19400085,13002372
5200,20230656,13516175
5300,21104106,14040397
5400,22033752,14573022
5500,22889496,15115695
5600,23542056,15666760
5700,24279156,16240320
5800,24980355,16804539
5900,26147721,17392870
6000,26935035,17996675
6100,28035918,18592634
6200,28664175,19215954
6300,29253933,19841697
6400,30727503,20470359
6500,31493736,21109815
6600,32756562,21772872
6700,33667248,22440165
6800,34540125,23114185
6900,35462340,23798229
7000,36855726,24483459
7100,37364175,25192672
7200,38518971,25915074
7300,40278294,26628947
7400,40881726,27363580
7500,42111462,28113990
7600,43202613,28869984
7700,44386422,29620444
7800,45904797,30402734
7900,46913349,31190610
8000,48126441,31987485
8100,49382115,32787909
8200,49906674,33608997
8300,51379323,34433829
8400,53379453,35255094
8500,54598452,36108347
8600,55087776,36970344
8700,57074238,37831739
8800,57773073,38700024
8900,58418316,39594222
9000,60011697,40488714
9100,61848624,41390580
9200,63353859,42292822
9300,64143828,43229025
9400,65918094,44173704
9500,68526201,45104497
9600,68539359,46069529
9700,71243343,47004104
9800,72320334,48003165
9900,72863601,48999554
